Proteome ID	Organism	Organism ID	Last modified
UP000009082	Nosema ceranae (strain BRL01) (Microsporidian parasite)	578460	2014-10-15
UP000009084	Coccidioides posadasii (strain C735) (Valley fever fungus)	222929	2015-04-01
UP000010086	Encephalitozoon hellem (strain ATCC 50504) (Microsporidian parasite)	907965	2015-04-01
UP000010091	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii)	235443	2015-04-01
UP000016933	Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini)	675120	2015-01-21
UP000016934	Cochliobolus sativus (strain ND90Pr / ATCC 201652) (Common root rot and spot blotch fungus) (Bipolaris sorokiniana)	665912	2014-10-15
UP000016930	Ceriporiopsis subvermispora (strain B) (White-rot fungus)	914234	2014-10-15
UP000016931	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)	692275	2014-10-15
UP000016932	Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis)	383855	2015-01-21
UP000016935	Setosphaeria turcica (strain 28A) (Northern leaf blight fungus) (Exserohilum turcicum)	671987	2014-10-15
UP000016936	Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis)	701091	2014-10-23
UP000016923	Ophiostoma piceae (strain UAMH 11346) (Sap stain fungus)	1262450	2014-10-15
UP000016922	Glarea lozoyensis (strain ATCC 20868 / MF5171)	1116229	2014-10-23
UP000016928	Fusarium oxysporum f. sp. cubense (strain race 1) (Panama disease fungus)	1229664	2014-10-23
UP000016929	Fusarium oxysporum f. sp. cubense (strain race 4) (Panama disease fungus)	1229665	2014-10-23
UP000013192	Saccharomyces cerevisiae (strain CEN.PK113-7D) (Baker's yeast)	889517	2015-04-01
UP000016926	Rhodosporidium toruloides (strain NP11) (Yeast) (Rhodotorula gracilis)	1130832	2014-10-15
UP000016927	Nosema bombycis (strain CQ1 / CVCC 102059) (Microsporidian parasite) (Pebrine of silkworm)	578461	2014-10-15
UP000016920	Ashbya aceri (Yeast)	566037	2014-10-15
UP000016924	Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)	1168221	2014-10-15
UP000000314	Komagataella pastoris (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	644223	2015-04-01
UP000002058	Uncinocarpus reesii (strain UAMH 1704)	336963	2014-10-15
UP000001628	Paracoccidioides brasiliensis (strain Pb18)	502780	2014-12-25
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502779	2015-01-26
UP000001631	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	447093	2014-12-11
UP000002740	Paracoccidioides brasiliensis (strain Pb03)	482561	2015-01-26
UP000016925	Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast)	1230383	2014-10-15
UP000008073	Saccharomyces cerevisiae (strain JAY291) (Baker's yeast)	574961	2014-10-15
UP000002039	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)	559297	2014-12-11
UP000008536	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) (Candida mogii)	559307	2014-10-15
UP000002035	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	554155	2014-10-15
UP000002038	Ajellomyces dermatitidis (strain SLH14081) (Blastomyces dermatitidis)	559298	2014-12-11
UP000007703	Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae)	306902	2014-10-15
UP000002037	Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast)	294747	2014-10-15
UP000002036	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	559295	2015-04-01
UP000001514	Selaginella moellendorffii (Spikemoss)	88036	2015-04-01
UP000010818	Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389) (White button mushroom)	936046	2014-10-15
UP000007151	Danaus plexippus (Monarch butterfly)	13037	2014-10-15
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	2015-04-01
UP000008143	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364	2015-04-01
UP000008181	Thielavia terrestris (strain ATCC 38088 / NRRL 8126) (Acremonium alabamense)	578455	2015-04-01
UP000007322	Thielavia heterothallica (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Myceliophthora thermophila)	573729	2015-04-01
UP000000542	Leishmania major	5664	2015-04-01
UP000008177	Botryotinia fuckeliana (strain T4) (Noble rot fungus) (Botrytis cinerea)	999810	2014-10-22
UP000007148	Piriformospora indica (strain DSM 11827)	1109443	2015-04-01
UP000016801	Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum)	1111077	2015-04-01
UP000016800	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	1279085	2015-04-01
UP000008549	Caenorhabditis briggsae	6238	2015-04-01
UP000007129	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	1126212	2015-04-01
UP000008553	Plasmodium yoelii yoelii	73239	2015-04-01
UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	2015-04-01
UP000005447	Cavia porcellus (Guinea pig)	10141	2015-04-01
UP000007062	Anopheles gambiae (African malaria mosquito)	7165	2015-04-01
UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	2015-04-01
UP000016666	Anas platyrhynchos (Mallard) (Anas boschas)	8839	2015-04-01
UP000007258	Leishmania braziliensis	5660	2015-04-01
UP000005426	Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)	452589	2014-10-15
UP000007259	Leishmania mexicana (strain MHOM/GT/2001/U1103)	929439	2015-04-01
UP000008673	Ogataea parapolymorpha (strain DL-1 / ATCC 26012 / NRRL Y-7560) (Yeast) (Hansenula polymorpha)	871575	2015-04-01
